,start_station_name,value
1587,W 21 St & 6 Ave,52629
8,1 Ave & E 68 St,48603
495,Broadway & W 58 St,45270
1718,West St & Chambers St,44562
286,6 Ave & W 33 St,41279
1511,University Pl & E 14 St,39656
788,E 33 St & 1 Ave,38674
463,Broadway & E 21 St,38310
461,Broadway & E 14 St,38197
485,Broadway & W 25 St,37979
1603,W 31 St & 7 Ave,36361
965,Grand Army Plaza & Central Park S,34800
328,8 Ave & W 33 St,34544
796,E 40 St & Park Ave,33848
590,Cleveland Pl & Spring St,33825
337,9 Ave & W 22 St,33568
24,11 Ave & W 41 St,33350
1105,Lafayette St & E 8 St,33234
287,6 Ave & W 34 St,32878
1624,W 41 St & 8 Ave,32741
